epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,7562.47,1.21518,1.86464,0.76466,0.97471,0.82926,0.84227,0.8728,0.60514,0.83672,0.80994,0.84862,0.47169,1.07654,1.45946,0.71222,0.94552,0.000297232,0.000297232,0.000297232
82,7657.12,1.21752,1.8495,0.76015,0.97599,0.85242,0.82997,0.87614,0.60506,0.84507,0.81582,0.85822,0.46883,1.06937,1.45256,0.71647,0.9416,0.000283085,0.000283085,0.000283085
83,7751.44,1.19977,1.81768,0.75645,0.97153,0.82263,0.84791,0.88002,0.6108,0.83416,0.80336,0.8535,0.46454,1.05965,1.43515,0.70846,0.94076,0.000268938,0.000268938,0.000268938
84,7845.68,1.2111,1.85346,0.75981,0.97022,0.82413,0.85026,0.88287,0.61091,0.81905,0.82724,0.85904,0.48581,1.06414,1.42767,0.69973,0.94779,0.000254791,0.000254791,0.000254791
85,7938.78,1.20183,1.83487,0.75104,0.96807,0.82271,0.85644,0.88611,0.61394,0.83413,0.8149,0.85577,0.46888,1.05695,1.43464,0.7064,0.939,0.000240644,0.000240644,0.000240644
86,8032.65,1.19582,1.82367,0.74331,0.97231,0.84616,0.84727,0.8877,0.6215,0.83839,0.8139,0.86627,0.48395,1.04531,1.43678,0.69849,0.93078,0.000226497,0.000226497,0.000226497
87,8125.94,1.20437,1.82228,0.73889,0.96776,0.84592,0.85942,0.8931,0.61944,0.83251,0.83455,0.86486,0.48684,1.06039,1.43294,0.69571,0.9362,0.000212349,0.000212349,0.000212349
88,8219.22,1.20238,1.80521,0.7423,0.97682,0.83421,0.85255,0.88293,0.61394,0.81575,0.83529,0.8654,0.48649,1.06261,1.43569,0.69116,0.94129,0.000198202,0.000198202,0.000198202
89,8315.29,1.17785,1.79209,0.73247,0.96232,0.84005,0.8588,0.88761,0.61635,0.82129,0.83938,0.86853,0.48335,1.0568,1.41777,0.696,0.94064,0.000184055,0.000184055,0.000184055
90,8410.05,1.18915,1.80867,0.72886,0.96544,0.83853,0.86012,0.89108,0.62085,0.86015,0.81236,0.86429,0.47574,1.05974,1.43131,0.69003,0.9386,0.000169908,0.000169908,0.000169908
91,8475.1,1.17774,1.83788,0.70743,0.97419,0.84301,0.83442,0.87801,0.61008,0.83454,0.81876,0.86162,0.48276,1.05739,1.4432,0.70253,0.93969,0.000155761,0.000155761,0.000155761
92,8539.76,1.16253,1.79882,0.683,0.968,0.85202,0.84958,0.89323,0.61908,0.85444,0.81288,0.86469,0.48199,1.05645,1.43741,0.69461,0.94147,0.000141614,0.000141614,0.000141614
93,8604.4,1.16041,1.78542,0.68941,0.9681,0.84499,0.85857,0.89325,0.61857,0.83105,0.83984,0.86673,0.48171,1.04473,1.44036,0.69642,0.93197,0.000127467,0.000127467,0.000127467
94,8669.09,1.15321,1.78446,0.68155,0.96115,0.83866,0.86119,0.89172,0.62084,0.82297,0.8292,0.86206,0.47686,1.04618,1.43076,0.69493,0.9371,0.00011332,0.00011332,0.00011332
95,8733.83,1.14181,1.78032,0.678,0.96428,0.83955,0.861,0.89537,0.62264,0.82303,0.83512,0.86551,0.48321,1.04494,1.43162,0.68998,0.93804,9.91726e-05,9.91726e-05,9.91726e-05
96,8798.39,1.1395,1.76964,0.67102,0.96012,0.84147,0.86409,0.89277,0.62257,0.8108,0.84458,0.86346,0.47999,1.04658,1.43047,0.68937,0.93614,8.50255e-05,8.50255e-05,8.50255e-05
97,8863.06,1.13666,1.7412,0.67181,0.95895,0.84133,0.86578,0.88987,0.62374,0.83069,0.83621,0.86914,0.48661,1.04103,1.4162,0.68437,0.93621,7.08784e-05,7.08784e-05,7.08784e-05
98,8927.59,1.12584,1.75056,0.67279,0.95704,0.85122,0.85668,0.89456,0.62365,0.83824,0.83256,0.86975,0.4878,1.03525,1.42019,0.68157,0.93626,5.67313e-05,5.67313e-05,5.67313e-05
99,8991.78,1.13431,1.75941,0.67641,0.95947,0.85156,0.85907,0.89664,0.62522,0.83535,0.84402,0.87472,0.49211,1.03851,1.42194,0.67548,0.93573,4.25842e-05,4.25842e-05,4.25842e-05
100,9055.6,1.11743,1.74408,0.66132,0.95629,0.84574,0.86275,0.89508,0.62454,0.84023,0.83832,0.87221,0.48908,1.03454,1.41425,0.67602,0.93425,2.84371e-05,2.84371e-05,2.84371e-05
